ID	exact.mass	resolve_note	n_merged	source_ids	mass_min	mass_max	ppm_span
FA 26:4 (putative)	387.326		1	FA 26:4 (putative)	387.326	387.326	0
FA 26:3 (putative)	389.342		1	FA 26:3 (putative)	389.342	389.342	0
Eicosapentanoyl ethanolamide	390.265		1	Eicosapentanoyl ethanolamide	390.265	390.265	0
N-stearoyl taurine	390.2684		1	N-stearoyl taurine	390.2684	390.2684	0
FA 18:0 (putative)	391.262		1	FA 18:0 (putative)	391.262	391.262	0
Chenodeoxycholic acid (CDCA) / Deoxycholic acid (DCA) / Ursodeoxycholic acid (UDCA) / LCA	391.2854		1	Chenodeoxycholic acid (CDCA) / Deoxycholic acid (DCA) / Ursodeoxycholic acid (UDCA) / LCA	391.2854	391.2854	0
FA 26:2 (putative)	391.358		1	FA 26:2 (putative)	391.358	391.358	0
glutathione-crotonaldehyde conjugate oxidized	392.1128		1	glutathione-crotonaldehyde conjugate oxidized	392.1128	392.1128	0
Arachidonoyl ethanolamide	392.2806		1	Arachidonoyl ethanolamide	392.2806	392.2806	0
C26:1	393.3731		2	FA 26:1 (putative) | C26:1	393.373	393.3732	0.5084
1-hexadecyl lysophosphatidic acid	395.2568		1	1-hexadecyl lysophosphatidic acid	395.2568	395.2568	0
C26:0	395.3884		2	FA 28:2 (putative) | C26:0	395.388	395.3889	2.2762
S-adenosylhomocysteine	397.13		1	S-adenosylhomocysteine	397.13	397.13	0
Palmitoylcarnitine	398.3276		1	Palmitoylcarnitine	398.3276	398.3276	0
Roflumilast	401.0277		1	Roflumilast	401.0277	401.0277	0
Ketocholanic acid	401.2333		1	Ketocholanic acid	401.2333	401.2333	0
Cholic acid (CA) / _MCA / _MCA / _MCA	407.2803		1	Cholic acid (CA) / _MCA / _MCA / _MCA	407.2803	407.2803	0
Ezetimibe	408.1417		1	Ezetimibe	408.1417	408.1417	0
Inosine 5_-diphosphate (IDP) M-H20-H	409.0069		1	Inosine 5_-diphosphate (IDP) M-H20-H	409.0069	409.0069	0
Xanthurenic acid 2M-H	409.064		1	Xanthurenic acid 2M-H	409.064	409.064	0
FA 16:0 (putative)	409.2356		1	FA 16:0 (putative)	409.2356	409.2356	0
C27:0	409.4045		1	C27:0	409.4045	409.4045	0
PE 12:0 (putative)	410.1773		1	PE 12:0 (putative)	410.1773	410.1773	0
N-arachidonoyl taurine	410.2371		1	N-arachidonoyl taurine	410.2371	410.2371	0
Palmitoylserotonin	413.3174		1	Palmitoylserotonin	413.3174	413.3174	0
Docosahexaenoyl ethanolamide	416.2806		1	Docosahexaenoyl ethanolamide	416.2806	416.2806	0
Glycocholanic Acid	416.317		1	Glycocholanic Acid	416.317	416.317	0
Finasteride	417.2759		1	Finasteride	417.2759	417.2759	0
C28:2	419.3889		1	C28:2	419.3889	419.3889	0
2beta,7alpha,12alpha-Trihydroxy-3-oxo-5beta-cholan-24-oic Acid (etc) / Lovastatin hydroxyacid	421.2596		1	2beta,7alpha,12alpha-Trihydroxy-3-oxo-5beta-cholan-24-oic Acid (etc) / Lovastatin hydroxyacid	421.2596	421.2596	0
C28:1	421.4045		1	C28:1	421.4045	421.4045	0
S-(1,2-dicarboxyethyl)glutathione	422.0875		1	S-(1,2-dicarboxyethyl)glutathione	422.0875	422.0875	0
Thiamin diphosphate M-H	423.0217		1	Thiamin diphosphate M-H	423.0217	423.0217	0
MG(0:0/20:5(7Z,9Z,11E,13E,17Z)-3OH(5,6,15)/0:0) / Pravastatin	423.2388		1	MG(0:0/20:5(7Z,9Z,11E,13E,17Z)-3OH(5,6,15)/0:0) / Pravastatin	423.2388	423.2388	0
FA 18:0 (putative)	423.2881		1	FA 18:0 (putative)	423.2881	423.2881	0
C28:0	423.4202		1	C28:0	423.4202	423.4202	0
Cysteine-glutathione disulfide (CySSG)	425.0806		1	Cysteine-glutathione disulfide (CySSG)	425.0806	425.0806	0
ADP	426.0222		1	ADP	426.0222	426.0222	0
2-Oxo-3-hydroxy-4-phosphobutanoic acid 2M-H	426.9508		1	2-Oxo-3-hydroxy-4-phosphobutanoic acid 2M-H	426.9508	426.9508	0
GLCA	432.3119		1	GLCA	432.3119	432.3119	0
FA 18:2 (putative)	433.2363		1	FA 18:2 (putative)	433.2363	433.2363	0
FA 18:1 (putative)	435.2518		2	1-oleoyl lysophosphatidic acid | FA 18:1 (putative)	435.2517	435.252	0.6893
FA 16:0 (putative)	436.2828		2	FA 16:0 (putative) | LPE O-16:1 (putative)	436.282	436.2837	3.8966
Dexamethasone	437.1981		1	Dexamethasone	437.1981	437.1981	0
FA 22:6 (putative)	437.246		1	FA 22:6 (putative)	437.246	437.246	0
FA 18:0 (putative)	437.2681		1	FA 18:0 (putative)	437.2681	437.2681	0
C29:0	437.4358		1	C29:0	437.4358	437.4358	0
LTE4	438.232		1	LTE4	438.232	438.232	0
LPE 16:0 (putative)	438.2985		1	LPE 16:0 (putative)	438.2985	438.2985	0
Folate	440.1324		1	Folate	440.1324	440.1324	0
Arachidonoylcarnitine	446.3276		1	Arachidonoylcarnitine	446.3276	446.3276	0
17-beta-estradiol-3-glucuronide	447.2024		1	17-beta-estradiol-3-glucuronide	447.2024	447.2024	0
C30:2	447.4202		1	C30:2	447.4202	447.4202	0
GUDCA / GCDCA / GDCA	448.3068		1	GUDCA / GCDCA / GDCA	448.3068	448.3068	0
tripeptide family (e.g. Arg-Ile-Tyr) / Lovastatin	449.2545		1	tripeptide family (e.g. Arg-Ile-Tyr) / Lovastatin	449.2545	449.2545	0
Norselic acid A	451.286		1	Norselic acid A	451.286	451.286	0
C30:0	451.4515		1	C30:0	451.4515	451.4515	0
LPE 16:0 (putative)	452.2779		1	LPE 16:0 (putative)	452.2779	452.2779	0
Phe-Ala-Phe-Ala	453.2143		1	Phe-Ala-Phe-Ala	453.2143	453.2143	0
DG 24:0 (putative)	455.376		1	DG 24:0 (putative)	455.376	455.376	0
FA 20:4 (putative)	457.2363		1	FA 20:4 (putative)	457.2363	457.2363	0
FA 20:3 (putative)	459.2506		1	FA 20:3 (putative)	459.2506	459.2506	0
4-hydroxy Nonenal Glutathione (HNE-GSH)	462.191		1	4-hydroxy Nonenal Glutathione (HNE-GSH)	462.191	462.191	0
LPE O-18:2 (putative)	462.2985		1	LPE O-18:2 (putative)	462.2985	462.2985	0
Simvastatin	463.2701		1	Simvastatin	463.2701	463.2701	0
DHN-GSH	464.2067		1	DHN-GSH	464.2067	464.2067	0
LPE 18:1 (putative)	464.2777		1	LPE 18:1 (putative)	464.2777	464.2777	0
GCA	464.3018		1	GCA	464.3018	464.3018	0
FA 18:1 (putative)	464.3153		2	LPE O-18:1 (putative) | FA 18:1 (putative)	464.3146	464.316	3.0152
Cholesterol sulfate	465.3044		1	Cholesterol sulfate	465.3044	465.3044	0
Taurocholanic acid	466.2997		1	Taurocholanic acid	466.2997	466.2997	0
LPE 18:0 (putative)	466.3298		1	LPE 18:0 (putative)	466.3298	466.3298	0
Cromolyn	467.062		1	Cromolyn	467.062	467.062	0
N-nervonoyl taurine	472.3466		1	N-nervonoyl taurine	472.3466	472.3466	0
Retinoyl b-glucuronide / Budesonide	475.2337		1	Retinoyl b-glucuronide / Budesonide	475.2337	475.2337	0
C32:2	475.4515		1	C32:2	475.4515	475.4515	0
LPE 18:2 (putative)	476.2788		1	LPE 18:2 (putative)	476.2788	476.2788	0
HNA-GSH	478.1859		1	HNA-GSH	478.1859	478.1859	0
FA 18:1 (putative)	478.2944		2	LPE 18:1 (putative) | FA 18:1 (putative)	478.2938	478.295	2.5089
C32:0	479.4828		1	C32:0	479.4828	479.4828	0
FA 18:0 (putative)	480.3085		2	FA 18:0 (putative) | LPE 18:0 (putative)	480.308	480.3091	2.2902
FA 22:6 (putative)	481.2359		1	FA 22:6 (putative)	481.2359	481.2359	0
TLCA	482.2946		1	TLCA	482.2946	482.2946	0
FA 16:0 (putative)	483.273		1	FA 16:0 (putative)	483.273	483.273	0
Inosine triphosphate (ITP) M-H20-H	488.9788		1	Inosine triphosphate (ITP) M-H20-H	488.9788	488.9788	0
LPE O-20:1 (putative)	492.3449		1	LPE O-20:1 (putative)	492.3449	492.3449	0
LTD4	495.2534		1	LTD4	495.2534	495.2534	0
taurochenodeoxycholic acid (TCDCA) / TUDCA / TDCA	498.2895		1	taurochenodeoxycholic acid (TCDCA) / TUDCA / TDCA	498.2895	498.2895	0
FA 20:4 (putative)	500.2793		2	LPE 20:4 (putative) | FA 20:4 (putative)	500.2786	500.28	2.7984
LPE 20:3 (putative)	502.2933		1	LPE 20:3 (putative)	502.2933	502.2933	0
Methymycin	504.272		1	Methymycin	504.272	504.272	0
ATP	505.988		1	ATP	505.988	505.988	0
Cardiolipin (putative)	506.1184		1	Cardiolipin (putative)	506.1184	506.1184	0
PE 18:1 (putative)	506.288		1	PE 18:1 (putative)	506.288	506.288	0
ITP M-H	506.9934		1	ITP M-H	506.9934	506.9934	0
FA 18:2 (putative)	507.272		1	FA 18:2 (putative)	507.272	507.272	0
FA 18:1 (putative)	509.2884		1	FA 18:1 (putative)	509.28845	509.28845	0
LPC 14:0 (putative)	512.2994		1	LPC 14:0 (putative)	512.2994	512.2994	0
taurocholic acid (TCA) / epimers of tauromuricholic acid (_-, _-, _-, or _-TMCA)	514.2844		1	taurocholic acid (TCA) / epimers of tauromuricholic acid (_-, _-, _-, or _-TMCA)	514.2844	514.2844	0
FA 18:1 (putative)	522.2827		1	FA 18:1 (putative)	522.2827	522.2827	0
FA 18:0 (putative)	524.2999		1	FA 18:0 (putative)	524.2999	524.2999	0
LPE 22:5 (putative)	526.2947		1	LPE 22:5 (putative)	526.2947	526.2947	0
LPC 15:0 (putative)	526.3149		1	LPC 15:0 (putative)	526.3149	526.3149	0
LPC O-16:1 (putative)	526.3521		1	LPC O-16:1 (putative)	526.3521	526.3521	0
FA 12:0 (putative)	526.4477		1	FA 12:0 (putative)	526.4477	526.4477	0
PE 21:4 (putative)	528.273		1	PE 21:4 (putative)	528.273	528.273	0
LPE 22:4 (putative)	528.3096		1	LPE 22:4 (putative)	528.3096	528.3096	0
taurotetrahydroxycholic acid (TTHBA)	530.2788		1	taurotetrahydroxycholic acid (TTHBA)	530.2788	530.2788	0
PE 21:3 (putative)	530.291		1	PE 21:3 (putative)	530.291	530.291	0
PA 24:0 (putative)	535.3405		1	PA 24:0 (putative)	535.3405	535.3405	0
LPC 16:1 (putative)	538.3154		1	LPC 16:1 (putative)	538.3154	538.3154	0
NAD+ [M-nicotinamide-2H]	540.0509		1	NAD+ [M-nicotinamide-2H]	540.0509	540.0509	0
FA 16:0 (putative)	540.3307		1	FA 16:0 (putative)	540.3307	540.3307	0
2-O-methyl PAF C-16	540.3671		1	2-O-methyl PAF C-16	540.3671	540.3671	0
Cer 18:1 (putative)	544.4496		1	Cer 18:1 (putative)	544.4496	544.4496	0
Cer 18:0 (putative)	546.4653		1	Cer 18:0 (putative)	546.4653	546.4653	0
LPC 17:1 (putative)	552.3314		1	LPC 17:1 (putative)	552.3314	552.3314	0
LPC O-18:1 (putative)	552.3669		1	LPC O-18:1 (putative)	552.3669	552.3669	0
LPC 17:0 (putative)	554.3463		1	LPC 17:0 (putative)	554.3463	554.3463	0
2-O-ethyl PAF C-16	554.383		2	2-O-ethyl PAF C-16 | LPC O-18:0 (putative)	554.3827	554.3834	1.2627
FA 14:0 (putative)	554.479		1	FA 14:0 (putative)	554.479	554.479	0
FA 22:6 (putative)	555.274		1	FA 22:6 (putative)	555.274	555.274	0
PI 14:0 (putative)	557.2457		1	PI 14:0 (putative)	557.2457	557.2457	0
FA 15:0 (putative)	557.273		1	FA 15:0 (putative)	557.273	557.273	0
FA 16:0 (putative)	557.309		1	FA 16:0 (putative)	557.309	557.309	0
Cer 33:1 (putative)	558.466		1	Cer 33:1 (putative)	558.466	558.466	0
LPC 18:2 (putative)	564.3304		1	LPC 18:2 (putative)	564.3304	564.3304	0
UDP-Glucose	565.0478		1	UDP-Glucose	565.0478	565.0478	0
LPC 18:1 (putative)	566.3463		1	LPC 18:1 (putative)	566.3463	566.3463	0
FA 18:0 (putative)	568.362		2	FA 18:0 (putative) | LPC 18:0 (putative)	568.362	568.3621	0.1759
Cer 34:2 (putative)	570.466		1	Cer 34:2 (putative)	570.466	570.466	0
FA 16:0 (putative)	571.29		1	FA 16:0 (putative)	571.28995	571.28995	0
Cer 18:1 (putative)	572.4809		1	Cer 18:1 (putative)	572.4809	572.4809	0
Zafirlukast	574.2017		1	Zafirlukast	574.2017	574.2017	0
Cer 18:0 (putative)	574.4966		1	Cer 18:0 (putative)	574.4966	574.4966	0
PE 24:0 (putative)	578.3827		1	PE 24:0 (putative)	578.3827	578.3827	0
LPC 19:0 (putative)	582.376		1	LPC 19:0 (putative)	582.376	582.376	0
Cardiolipin CL(52:2) (putative)	582.3797		1	Cardiolipin CL(52:2) (putative)	582.3797	582.3797	0
LPC O-20:0 (putative)	582.4139		1	LPC O-20:0 (putative)	582.4139	582.4139	0
FA 16:0 (putative)	582.5103		1	FA 16:0 (putative)	582.5103	582.5103	0
FA 16:0 (putative)	584.5259		1	FA 16:0 (putative)	584.5259	584.5259	0
LPC 20:4 (putative)	588.33		1	LPC 20:4 (putative)	588.33	588.33	0
LPC 20:3 (putative)	590.3467		1	LPC 20:3 (putative)	590.3467	590.3467	0
PA 28:0 (putative)	591.4031		1	PA 28:0 (putative)	591.4031	591.4031	0
LPC 20:2 (putative)	592.3622		1	LPC 20:2 (putative)	592.3622	592.3622	0
Cardiolipin CL(54:5) (putative)	593.3715		1	Cardiolipin CL(54:5) (putative)	593.3715	593.3715	0
LPC 20:1 (putative)	594.3771		1	LPC 20:1 (putative)	594.3771	594.3771	0
Cardiolipin CL(54:3) (putative)	595.3872		1	Cardiolipin CL(54:3) (putative)	595.3872	595.3872	0
PAF C-18 / Butanoyl-PAF	596.3932		2	LPC 20:0 (putative) | PAF C-18 / Butanoyl-PAF	596.3932	596.3933	0.1677
FA 18:1 (putative)	597.304		1	FA 18:1 (putative)	597.304	597.304	0
Cer 36:2 (putative)	598.496		1	Cer 36:2 (putative)	598.496	598.496	0
FA 18:0 (putative)	599.3202		1	FA 18:0 (putative)	599.32015	599.32015	0
Cer 36:1 (putative)	600.512		1	Cer 36:1 (putative)	600.512	600.512	0
DG 32:1 (putative)	601.459		1	DG 32:1 (putative)	601.459	601.459	0
Sphinganine 2M-H	601.603		1	Sphinganine 2M-H	601.603	601.603	0
DG 32:0 (putative)	603.476		1	DG 32:0 (putative)	603.476	603.476	0
N-Acetylaspartylglutamic acid 2M-H	607.1778		1	N-Acetylaspartylglutamic acid 2M-H	607.1778	607.1778	0
PC (putative)	608.3569		1	PC (putative)	608.3569	608.3569	0
FA 18:1 (putative)	608.5259		1	FA 18:1 (putative)	608.5259	608.5259	0
PG 24:0 (putative)	609.3773		1	PG 24:0 (putative)	609.3773	609.3773	0
PC 20:0 (putative)	610.3726		1	PC 20:0 (putative)	610.3726	610.3726	0
FA 18:0 (putative)	610.5416		1	FA 18:0 (putative)	610.5416	610.5416	0
oxidized glutathione / glutathione disufide (GSSG)	611.1447		1	oxidized glutathione / glutathione disufide (GSSG)	611.1447	611.1447	0
LPC 22:6 (putative)	612.331		1	LPC 22:6 (putative)	612.331	612.331	0
LPC 22:5 (putative)	614.3459		1	LPC 22:5 (putative)	614.3459	614.3459	0
heme B	615.1695		1	heme B	615.1695	615.1695	0
LPC 22:4 (putative)	616.3627		1	LPC 22:4 (putative)	616.3627	616.3627	0
FA 16:0 (putative)	616.471		1	FA 16:0 (putative)	616.471	616.471	0
FA 16:0 (putative)	618.4863		1	FA 16:0 (putative)	618.4863	618.4863	0
PI 20:4 (putative)	619.29		1	PI 20:4 (putative)	619.29	619.29	0
NADP+ [M-nicotinamide-2H]	620.0176		1	NADP+ [M-nicotinamide-2H]	620.0176	620.0176	0
PS 24:0 (putative)	622.3726		1	PS 24:0 (putative)	622.3726	622.3726	0
LTC4	624.296		1	LTC4	624.296	624.296	0
DG 34:3 (putative)	625.459		1	DG 34:3 (putative)	625.459	625.459	0
DG 34:2 (putative)	627.475		1	DG 34:2 (putative)	627.475	627.475	0
DG 34:1 (putative)	629.491		1	DG 34:1 (putative)	629.491	629.491	0
PE 28:0 (putative)	634.4455		2	PE 28:0 (putative) | LPC O-24:2 (putative)	634.4453	634.4457	0.6305
LPC O-24:1 (putative)	636.4618		1	LPC O-24:1 (putative)	636.4618	636.4618	0
PC (putative)	638.3675		1	PC (putative)	638.3675	638.3675	0
FA 20:0 (putative)	638.5729		1	FA 20:0 (putative)	638.5729	638.5729	0
Cer 40:1 (putative)	640.58		1	Cer 40:1 (putative)	640.58	640.58	0
PA 32:0 (putative)	647.464		1	PA 32:0 (putative)	647.464	647.464	0
DG 36:4 (putative)	651.475		1	DG 36:4 (putative)	651.475	651.475	0
LPC 24:0 (putative)	652.4555		1	LPC 24:0 (putative)	652.4555	652.4555	0
DG 36:3 (putative)	653.492		1	DG 36:3 (putative)	653.492	653.492	0
Heptanoyl thio-phosphatidylcholine	654.4174		1	Heptanoyl thio-phosphatidylcholine	654.4174	654.4174	0
Cer 18:1 (putative)	654.5592		1	Cer 18:1 (putative)	654.5592	654.5592	0
DG 36:2 (putative)	655.508		1	DG 36:2 (putative)	655.508	655.508	0
Cer 18:0 (putative)	656.5748		1	Cer 18:0 (putative)	656.5748	656.5748	0
DG 36:1 (putative)	657.523		1	DG 36:1 (putative)	657.523	657.523	0
Cer 18:0 (putative)	658.5905		1	Cer 18:0 (putative)	658.5905	658.5905	0
PA O-34:1 (putative)	659.5016		1	PA O-34:1 (putative)	659.5016	659.5016	0
NAD+ [M-2H]	662.0986		1	NAD+ [M-2H]	662.0986	662.0986	0
NADH [M-H]	664.1147		1	NADH [M-H]	664.1147	664.1147	0
PG 28:0 (putative)	665.4399		1	PG 28:0 (putative)	665.4399	665.4399	0
PC 24:0 (putative)	666.4352		1	PC 24:0 (putative)	666.4352	666.4352	0
Cer 42:2 (putative)	666.597		1	Cer 42:2 (putative)	666.597	666.597	0
FA 22:0 (putative)	666.6042		1	FA 22:0 (putative)	666.6042	666.6042	0
Cer 41:2 (putative)	668.577		1	Cer 41:2 (putative)	668.577	668.577	0
Cer 42:1 (putative)	668.611		1	Cer 42:1 (putative)	668.611	668.611	0
Cer 41:1 (putative)	670.59		1	Cer 41:1 (putative)	670.59	670.59	0
PA 34:2 (putative)	671.4467		1	PA 34:2 (putative)	671.4467	671.4467	0
PA 24:2 (putative)	671.464		1	PA 24:2 (putative)	671.464	671.464	0
PA 34:1 (putative)	673.5079		1	PA 34:1 (putative)	673.5079	673.5079	0
trihydroxycholanoyltaurine	674.198		1	trihydroxycholanoyltaurine	674.198	674.198	0
mono-glucuronides of dihydroxycholanoyltaurine	674.3216		1	mono-glucuronides of dihydroxycholanoyltaurine	674.3216	674.3216	0
Cer 40:0 (putative)	674.587		1	Cer 40:0 (putative)	674.587	674.587	0
DG 38:6 (putative)	675.475		1	DG 38:6 (putative)	675.475	675.475	0
DG 38:5 (putative)	677.49		1	DG 38:5 (putative)	677.49	677.49	0
DG 38:4 (putative)	679.509		1	DG 38:4 (putative)	679.509	679.509	0
Cer 42:3 (putative)	680.575		1	Cer 42:3 (putative)	680.575	680.575	0
Cer 18:1 (putative)	682.5905		1	Cer 18:1 (putative)	682.5905	682.5905	0
NAD+ [M+Na-3H]	684.0809		1	NAD+ [M+Na-3H]	684.0809	684.0809	0
Cer 18:0 (putative)	684.6061		1	Cer 18:0 (putative)	684.6061	684.6061	0
NADH [M+Na-2H]	686.0961		1	NADH [M+Na-2H]	686.0961	686.0961	0
Cer 42:0 (putative)	686.622		1	Cer 42:0 (putative)	686.622	686.622	0
PA O-36:1 (putative)	687.5329		1	PA O-36:1 (putative)	687.5329	687.5329	0
PE/Cer 36:1 (putative)	687.545		1	PE/Cer 36:1 (putative)	687.545	687.545	0
FA 12:0 (putative)	688.5005		1	FA 12:0 (putative)	688.5005	688.5005	0
PE 32:0 (putative)	690.5079		1	PE 32:0 (putative)	690.5079	690.5079	0
SM 30:1 (putative)	691.5032		1	SM 30:1 (putative)	691.5032	691.5032	0
FA 24:1 (putative)	692.6198		1	FA 24:1 (putative)	692.6198	692.6198	0
FA 24:0 (putative)	694.6355		1	FA 24:0 (putative)	694.6355	694.6355	0
PA 36:4 (putative)	695.464		1	PA 36:4 (putative)	695.464	695.464	0
PA 36:4 (putative)	695.4916		1	PA 36:4 (putative)	695.4916	695.4916	0
Cer 44:1 (putative)	696.641		1	Cer 44:1 (putative)	696.641	696.641	0
FA 24:0 (putative)	696.6511		1	FA 24:0 (putative)	696.6511	696.6511	0
PA 36:3 (putative)	697.4621		1	PA 36:3 (putative)	697.4621	697.4621	0
PA 36:3 (putative)	697.48		1	PA 36:3 (putative)	697.48	697.48	0
Cardiolipin CL(68:5) (putative)	698.472		1	Cardiolipin CL(68:5) (putative)	698.472	698.472	0
PE O-34:3 (putative)	698.5139		2	PE O-34:3 (putative) | PE P-34:3 (putative)	698.5128	698.515	3.1495
Cer 43:1 (putative)	698.622		1	Cer 43:1 (putative)	698.622	698.622	0
DG 40:8 (putative)	699.4728		2	PA 36:2 (putative) | DG 40:8 (putative)	699.4715	699.474	3.5741
PA 36:2 (putative)	699.495		1	PA 36:2 (putative)	699.495	699.495	0
PE O-34:2 (putative)	700.528		2	PE P-34:2 (putative) | PE O-34:2 (putative)	700.527	700.5289	2.7122
DG 40:7 (putative)	701.49		1	DG 40:7 (putative)	701.49	701.49	0
PE O-34:1 (putative)	702.5438		1	PE O-34:1 (putative)	702.5438	702.5438	0
DG 40:6 (putative)	703.506		1	DG 40:6 (putative)	703.506	703.506	0
PA 36:0 (putative)	703.5283		1	PA 36:0 (putative)	703.5283	703.5283	0
DG 40:5 (putative)	705.523		1	DG 40:5 (putative)	705.523	705.523	0
SM 18:1 (putative)	709.5051		1	SM 18:1 (putative)	709.5051	709.5051	0
Cardiolipin CL(70:7) (putative)	710.47		1	Cardiolipin CL(70:7) (putative)	710.47	710.47	0
Cer 44:2 (putative)	710.624		1	Cer 44:2 (putative)	710.624	710.624	0
Cardiolipin CL(70:6) (putative)	711.476		1	Cardiolipin CL(70:6) (putative)	711.476	711.476	0
FA 14:0 (putative)	711.5208		1	FA 14:0 (putative)	711.5208	711.5208	0
Cardiolipin CL(70:5) (putative)	712.4854		2	Cardiolipin CL(70:5) (putative) | Cardiolipin CL(70:5) [M-2H]2- (putative)	712.484	712.4867	3.7896
Cer 44:1 (putative)	712.638		1	Cer 44:1 (putative)	712.638	712.638	0
Cardiolipin CL(70:4) (putative)	713.4944		2	Cardiolipin CL(70:4) (putative) | Cardiolipin CL(70:4) [M-2H]2- (putative)	713.4944	713.4945	0.1402
PE 34:2 (putative)	714.5075		1	PE 34:2 (putative)	714.50745	714.50745	0
PE 34:1 (putative)	716.5232		1	PE 34:1 (putative)	716.52315	716.52315	0
1-palmitoyl-2-(4-keto-dodec-3-ene-dioyl)phosphatidylcholine	718.4301		1	1-palmitoyl-2-(4-keto-dodec-3-ene-dioyl)phosphatidylcholine	718.4301	718.4301	0
PE 34:0 (putative)	718.538		1	PE 34:0 (putative)	718.538	718.538	0
PG (putative)	719.4869		3	PG 22:1 (putative) | PG (putative) | PE/Cer 36:3 (putative)	719.486	719.488	2.7798
PE O-36:6 (putative)	720.4961		1	PE O-36:6 (putative)	720.4961	720.4961	0
PG (putative)	721.5025		1	PG (putative)	721.5025	721.5025	0
Cardiolipin CL(72:9) (putative)	722.4709		1	Cardiolipin CL(72:9) (putative)	722.4709	722.4709	0
PC 28:0 (putative)	722.4978		1	PC 28:0 (putative)	722.4978	722.4978	0
PE O-36:5 (putative)	722.5122		2	PE P-36:4 (putative) | PE O-36:5 (putative)	722.512	722.5123	0.4152
Cardiolipin CL(72:8) (putative)	723.4789		2	Cardiolipin CL(72:8) [M-2H]2- (putative) | Cardiolipin CL(72:8) (putative)	723.4788	723.479	0.2764
SM 18:1 (putative)	723.5208		1	SM 18:1 (putative)	723.5208	723.5208	0
NADP M-H20-H	724.0817		1	NADP M-H20-H	724.0817	724.0817	0
Cardiolipin CL(72:7) (putative)	724.4866		2	Cardiolipin CL(72:7) (putative) | Cardiolipin CL(72:7) [M-2H]2- (putative)	724.4864	724.4867	0.4141
PE O-36:4 (putative)	724.5276		1	PE O-36:4 (putative)	724.5276	724.5276	0
Cardiolipin CL(72:6) (putative)	725.4942		2	Cardiolipin CL(72:6) (putative) | Cardiolipin CL(72:6) [M-2H]2- (putative)	725.4939	725.4945	0.827
FA 15:0 (putative)	725.5364		1	FA 15:0 (putative)	725.5364	725.5364	0
Cardiolipin CL(72:5) (putative)	726.5021		2	Cardiolipin CL(72:5) (putative) | Cardiolipin CL(72:5) [M-2H]2- (putative)	726.5019	726.5023	0.5506
PE O-36:3 (putative)	726.5444		2	PE O-36:3 (putative) | PE P-36:3 (putative)	726.5438	726.545	1.6517
FA 24:1 (putative)	726.5802		1	FA 24:1 (putative)	726.5802	726.5802	0
Cardiolipin CL(72:4) (putative)	727.5093		2	Cardiolipin CL(72:4) (putative) | Cardiolipin CL(72:4) [M-2H]2- (putative)	727.50845	727.5101	2.268
PE 18:0 (putative)	728.5586		2	PE 18:0 (putative) | PE O-36:2 (putative)	728.5577	728.5595	2.4706
FA 24:1 (putative)	728.5958		1	FA 24:1 (putative)	728.5958	728.5958	0
PE 35:1 (putative)	730.537		1	PE 35:1 (putative)	730.537	730.537	0
PE 18:0 (putative)	730.5742		2	PE 18:0 (putative) | PE O-36:1 (putative)	730.5734	730.5751	2.3269
PS P-33:0 (putative)	732.517		1	PS P-33:0 (putative)	732.517	732.517	0
GlcCer 34:1 (putative)	734.532		1	GlcCer 34:1 (putative)	734.532	734.532	0
Cardiolipin CL(74:10) (putative)	735.4784		1	Cardiolipin CL(74:10) (putative)	735.4784	735.4784	0
SM 18:1 (putative)	735.5208		1	SM 18:1 (putative)	735.5208	735.5208	0
Cardiolipin/SM 74:9 (putative)	736.4866		2	Cardiolipin/SM 74:9 (putative) | Cardiolipin CL(74:9) [M-2H]2- (putative)	736.4864	736.4867	0.4073
PE O-37:5 (putative)	736.527		1	PE O-37:5 (putative)	736.527	736.527	0
Cardiolipin CL(74:8) (putative)	737.4944		2	Cardiolipin CL(74:8) (putative) | Cardiolipin CL(74:8) [M-2H]2- (putative)	737.4944	737.4945	0.1356
SM 18:1 (putative)	737.5362		2	PE/Cer 37:1 (putative) | SM 18:1 (putative)	737.536	737.5364	0.5423
Cardiolipin CL(74:7) (putative)	738.5019		1	Cardiolipin CL(74:7) (putative)	738.5019	738.5019	0
PE 36:4 (putative)	738.5074		1	PE 36:4 (putative)	738.5074	738.5074	0
Cardiolipin CL(72:8) (putative)	739.4738		1	Cardiolipin CL(72:8) (putative)	739.4738	739.4738	0
Cardiolipin CL(74:6) (putative)	739.5099		1	Cardiolipin CL(74:6) (putative)	739.5099	739.5099	0
FA 16:0 (putative)	739.5521		1	FA 16:0 (putative)	739.5521	739.5521	0
PC 30:0 (putative)	740.4997		1	PC 30:0 (putative)	740.4997	740.4997	0
PE 36:3 (putative)	740.522		1	PE 36:3 (putative)	740.522	740.522	0
NADP+ [M-2H]	742.065		1	NADP+ [M-2H]	742.065	742.065	0
PE 36:2 (putative)	742.5385		1	PE 36:2 (putative)	742.5385	742.5385	0
PG (putative)	743.486		2	PG 34:1 (putative) | PG (putative)	743.485	743.4869	2.5555
Cervonoyl ethanolamide 2M-H	743.5331		1	Cervonoyl ethanolamide 2M-H	743.5331	743.5331	0
NADPH [M-H]	744.0805		1	NADPH [M-H]	744.0805	744.0805	0
PS P-34:1 (putative)	744.518		1	PS P-34:1 (putative)	744.518	744.518	0
