ID	exact.mass
PC O-40:6 (putative)	864.6101
PG 44:12 (putative)	865.5
Succinyl-CoA	866.124
PC O-40:5 (putative)	866.6277
PI P-35:2 (putative)	867.516
PS 42:3 (putative)	868.603
PC O-40:4 (putative)	868.6436
PI P-35:2 (putative)	869.531
PS 42:2 (putative)	870.622
PI 37:4 (putative)	871.533
PS 42:1 (putative)	872.637
GlcCer 34:2 (putative)	872.676
PI 37:3 (putative)	873.551
PC 40:8 (putative)	874.5613
GlcCer 34:1 (putative)	874.687
PC 40:7 (putative)	876.5743
PC 40:6 (putative)	878.5897
ST 18:1 (putative)	878.602
PI 38:7 (putative)	879.5002
PC 40:5 (putative)	880.6063
PI (putative)	881.5178
PC 40:4 (putative)	882.6227
PI 38:5 (putative)	883.5346
PI (putative)	885.55
FA 24:1 (putative)	887.0067
PI 38:3 (putative)	887.565
ST 18:1 (putative)	888.623
FA 24:1 (putative)	890.639
PC 40:0 (putative)	890.6856
PC O-42:5 (putative)	894.6594
PC 42:10 (putative)	898.5605
LacCer 18:0 (putative)	898.6022
PI 39:4 (putative)	899.563
Bradykinin	902.453
ST 18:1 (putative)	902.602
ST 18:1 (putative)	904.618
FA 16:0 (putative)	906.6159
ST 18:1 (putative)	906.634
PI (putative)	909.5488
HMG-CoA	910.1502
PI (putative)	911.5655
PI (putative)	913.5812
FA 14:0 (putative)	914.551
PI (putative)	915.5968
ST 44:2 (putative)	916.654
ST 44:1 (putative)	918.67
PC O-44:6 (putative)	920.6752
PC O-44:5 (putative)	922.6912
ST 18:1 (putative)	932.649
PI 39:4 (putative)	935.544
HWESASXX	940.4534
FA 16:0 (putative)	940.567
FA 16:0 (putative)	942.5824
Cardiolipin CL(36:4) (putative)	959.482
LacCer 18:0 (putative)	982.6961
LacCer 18:0 (putative)	1008.7118
LacCer 18:0 (putative)	1010.7274
FA 24:1 (putative)	1016.7255
FA 24:0 (putative)	1018.7411
FA 22:0 (putative)	1024.6606
FA 24:1 (putative)	1050.6763
FA 24:1 (putative)	1052.6919
FA 16:0 (putative)	1060.6551
FA 16:0 (putative)	1153.721
Cardiolipin CL(52:2) (putative)	1165.7666
FA 24:1 (putative)	1170.7646
Cardiolipin CL(54:5) (putative)	1187.7504
Cardiolipin CL(54:3) (putative)	1191.7817
FA 24:1 (putative)	1263.8305
FA 18:0 (putative)	1382.818
Cardiolipin CL(70:5) (putative)	1425.9803
Cardiolipin CL(70:4) (putative)	1427.9961
Cardiolipin CL(72:9) (putative)	1445.949
Cardiolipin CL(72:8) (putative)	1447.9645
Cardiolipin CL(72:7) (putative)	1449.9803
Cardiolipin CL(72:6) (putative)	1451.9956
Cardiolipin CL(72:5) (putative)	1454.0114
Cardiolipin CL(72:4) (putative)	1456.0273
Cardiolipin CL(74:11) (putative)	1469.949
Cardiolipin CL(74:10) (putative)	1471.964
Cardiolipin CL(74:9) (putative)	1473.9803
Cardiolipin CL(74:8) (putative)	1475.9961
Cardiolipin CL(74:7) (putative)	1478.011
Cardiolipin CL(72:8) (putative)	1479.9548
Cardiolipin CL(74:6) (putative)	1480.027
Cardiolipin CL(76:12) (putative)	1495.9645
Cardiolipin CL(76:11) (putative)	1497.9803
Cardiolipin CL(76:10) (putative)	1499.9961
Cardiolipin CL(76:9) (putative)	1502.0114
Cardiolipin CL(72:8) (putative)	1511.9446
FA 16:0 (putative)	1516.839
FA 16:0 (putative)	1518.8532
Cardiolipin CL(74:8) (putative)	1523.9805
Cardiolipin CL(78:12) [M-H]- (putative)	1523.9963
FA 18:1 (putative)	1542.855
FA 18:0 (putative)	1544.869
Cardiolipin CL(76:9) (putative)	1549.9961
Cardiolipin CL(76:8) (putative)	1552.0118
Cardiolipin CL(80:8) [M-H]- (putative)	1560.0902
Cardiolipin CL(74:8) (putative)	1571.9652
FA 18:0 (putative)	1572.896
Cardiolipin CL(76:10) (putative)	1579.9703
Cardiolipin CL(76:9) (putative)	1581.9859
FA 24:1 (putative)	1628.9627
FA 16:0 (putative)	1664.9111
FA 24:1 (putative)	1775.0206
FA 18:0 (putative)	1817.953
FA 18:1 (putative)	1842.969
FA 18:0 (putative)	1845.981
FA 18:0 (putative)	1857.94
FA 18:0 (putative)	1882.892
FA 18:0 (putative)	1953.964
