ID	exact.mass	resolve_note	n_merged	source_ids	mass_min	mass_max	ppm_span
Acylcarnitine C5:1-OH	260.1492		1	Acylcarnitine C5:1-OH	260.1492	260.1492	0
Acylcarnitine C6:0	260.1856		1	Acylcarnitine C6:0	260.1856	260.1856	0
Acylcarnitine C4:1-2OH	262.1285		1	Acylcarnitine C4:1-2OH	262.1285	262.1285	0
Acylcarnitine C5:0-OH	262.1649		1	Acylcarnitine C5:0-OH	262.1649	262.1649	0
Acylcarnitine C7:4	266.1386		1	Acylcarnitine C7:4	266.1386	266.1386	0
Adenosine	268.104		1	Adenosine	268.104	268.104	0
Inosine	269.088		1	Inosine	269.088	269.088	0
Acylcarnitine C7:2	270.17		1	Acylcarnitine C7:2	270.17	270.17	0
Acylcarnitine C7:1	272.1856		1	Acylcarnitine C7:1	272.1856	272.1856	0
Acylcarnitine C6:1-OH	274.1649		1	Acylcarnitine C6:1-OH	274.1649	274.1649	0
Acylcarnitine C7:0	274.2013		1	Acylcarnitine C7:0	274.2013	274.2013	0
Acylcarnitine C5:1-2OH	276.1442		1	Acylcarnitine C5:1-2OH	276.1442	276.1442	0
Acylcarnitine C6:0-OH	276.1805		1	Acylcarnitine C6:0-OH	276.1805	276.1805	0
Acylcarnitine C8:4	280.1543		1	Acylcarnitine C8:4	280.1543	280.1543	0
Oleic Acid	281.2481		1	Oleic Acid	281.2481	281.2481	0
Guanosine	284.0989		1	Guanosine	284.0989	284.0989	0
Acylcarnitine C8:2	284.1856		1	Acylcarnitine C8:2	284.1856	284.1856	0
Acylcarnitine C6:3-2OH	286.1285		1	Acylcarnitine C6:3-2OH	286.1285	286.1285	0
Acylcarnitine C8:1	286.2013		1	Acylcarnitine C8:1	286.2013	286.2013	0
Acylcarnitine C6:2-2OH	288.1442		1	Acylcarnitine C6:2-2OH	288.1442	288.1442	0
Acylcarnitine C7:1-OH	288.1805		1	Acylcarnitine C7:1-OH	288.1805	288.1805	0
Acylcarnitine C8:0	288.2169		1	Acylcarnitine C8:0	288.2169	288.2169	0
Acylcarnitine C6:1-2OH	290.1598		1	Acylcarnitine C6:1-2OH	290.1598	290.1598	0
Acylcarnitine C7:0-OH	290.1962		1	Acylcarnitine C7:0-OH	290.1962	290.1962	0
Argininosuccinic acid	291.1299		1	Argininosuccinic acid	291.1299	291.1299	0
Acylcarnitine C6:0-SH	292.1577		1	Acylcarnitine C6:0-SH	292.1577	292.1577	0
Acylcarnitine C9:4	294.17		1	Acylcarnitine C9:4	294.17	294.17	0
Acylcarnitine C8:4-OH	296.1492		1	Acylcarnitine C8:4-OH	296.1492	296.1492	0
Acylcarnitine C8:3-OH	298.1649		1	Acylcarnitine C8:3-OH	298.1649	298.1649	0
Acylcarnitine C9:2	298.2013		1	Acylcarnitine C9:2	298.2013	298.2013	0
Acylcarnitine C6:4-3OH	300.1078		1	Acylcarnitine C6:4-3OH	300.1078	300.1078	0
Acylcarnitine C8:2-OH	300.1805		1	Acylcarnitine C8:2-OH	300.1805	300.1805	0
Acylcarnitine C9:1	300.2169		1	Acylcarnitine C9:1	300.2169	300.2169	0
Adenosine	302.0656		1	Adenosine	302.0656	302.0656	0
Acylcarnitine C7:2-2OH	302.1598		1	Acylcarnitine C7:2-2OH	302.1598	302.1598	0
Acylcarnitine C8:1-OH	302.1962		1	Acylcarnitine C8:1-OH	302.1962	302.1962	0
Acylcarnitine C9:0	302.2326		1	Acylcarnitine C9:0	302.2326	302.2326	0
Acylcarnitine C6:2-3OH	304.1391		1	Acylcarnitine C6:2-3OH	304.1391	304.1391	0
Acylcarnitine C7:1-2OH	304.1755		1	Acylcarnitine C7:1-2OH	304.1755	304.1755	0
Acylcarnitine C8:0-OH	304.2118		1	Acylcarnitine C8:0-OH	304.2118	304.2118	0
Acylcarnitine C6:1-3OH	306.1547		1	Acylcarnitine C6:1-3OH	306.1547	306.1547	0
Acylcarnitine C10:5	306.17		1	Acylcarnitine C10:5	306.17	306.17	0
Glutathione	308.0911		1	Glutathione	308.0911	308.0911	0
1,N(6)-Propanodeoxyadenosine	308.1359		1	1,N(6)-Propanodeoxyadenosine	308.1359	308.1359	0
Acylcarnitine C9:5-OH	308.1492		1	Acylcarnitine C9:5-OH	308.1492	308.1492	0
Acylcarnitine C6:0-OH-SH	308.1526		1	Acylcarnitine C6:0-OH-SH	308.1526	308.1526	0
Acylcarnitine C10:4	308.1856		1	Acylcarnitine C10:4	308.1856	308.1856	0
Acylcarnitine C8:5-2OH	310.1285		1	Acylcarnitine C8:5-2OH	310.1285	310.1285	0
Acylcarnitine C9:4-OH	310.1649		1	Acylcarnitine C9:4-OH	310.1649	310.1649	0
Acylcarnitine C10:3	310.2013		1	Acylcarnitine C10:3	310.2013	310.2013	0
Acylcarnitine C8:4-2OH	312.1442		1	Acylcarnitine C8:4-2OH	312.1442	312.1442	0
Acylcarnitine C9:3-OH	312.1805		1	Acylcarnitine C9:3-OH	312.1805	312.1805	0
Acylcarnitine C10:2	312.2169		1	Acylcarnitine C10:2	312.2169	312.2169	0
Acylcarnitine C8:3-2OH	314.1598		1	Acylcarnitine C8:3-2OH	314.1598	314.1598	0
Acylcarnitine C9:2-OH	314.1962		1	Acylcarnitine C9:2-OH	314.1962	314.1962	0
Acylcarnitine C10:1	314.2326		1	Acylcarnitine C10:1	314.2326	314.2326	0
Acylcarnitine C8:2-2OH	316.1755		1	Acylcarnitine C8:2-2OH	316.1755	316.1755	0
Acylcarnitine C9:1-OH	316.2118		1	Acylcarnitine C9:1-OH	316.2118	316.2118	0
Acylcarnitine C10:0	316.2482		1	Acylcarnitine C10:0	316.2482	316.2482	0
Acylcarnitine C8:1-2OH	318.1911		1	Acylcarnitine C8:1-2OH	318.1911	318.1911	0
Acylcarnitine C9:0-OH	318.2275		1	Acylcarnitine C9:0-OH	318.2275	318.2275	0
Acylcarnitine C8:0-2OH	320.2068		1	Acylcarnitine C8:0-2OH	320.2068	320.2068	0
Acylcarnitine C11:4	322.2013		1	Acylcarnitine C11:4	322.2013	322.2013	0
Acylcarnitine C9:5-2OH	324.1442		1	Acylcarnitine C9:5-2OH	324.1442	324.1442	0
Acylcarnitine C10:4-OH	324.1805		1	Acylcarnitine C10:4-OH	324.1805	324.1805	0
Acylcarnitine C9:4-2OH	326.1598		1	Acylcarnitine C9:4-2OH	326.1598	326.1598	0
Acylcarnitine C10:3-OH	326.1962		1	Acylcarnitine C10:3-OH	326.1962	326.1962	0
Acylcarnitine C11:2	326.2326		1	Acylcarnitine C11:2	326.2326	326.2326	0
Acylcarnitine C8:4-3OH	328.1391		1	Acylcarnitine C8:4-3OH	328.1391	328.1391	0
Acylcarnitine C10:2-OH	328.2118		1	Acylcarnitine C10:2-OH	328.2118	328.2118	0
Acylcarnitine C11:1	328.2482		1	Acylcarnitine C11:1	328.2482	328.2482	0
Acylcarnitine C9:2-2OH	330.1911		1	Acylcarnitine C9:2-2OH	330.1911	330.1911	0
Acylcarnitine C10:1-OH	330.2275		1	Acylcarnitine C10:1-OH	330.2275	330.2275	0
Acylcarnitine C11:0	330.2639		1	Acylcarnitine C11:0	330.2639	330.2639	0
Acylcarnitine C8:2-3OH	332.1704		1	Acylcarnitine C8:2-3OH	332.1704	332.1704	0
Acylcarnitine C9:1-2OH	332.2068		1	Acylcarnitine C9:1-2OH	332.2068	332.2068	0
Acylcarnitine C10 :-OH	332.2431		1	Acylcarnitine C10 :-OH	332.2431	332.2431	0
Acylcarnitine C8:1-3OH	334.186		1	Acylcarnitine C8:1-3OH	334.186	334.186	0
Acylcarnitine C10:6-2OH	336.1442		1	Acylcarnitine C10:6-2OH	336.1442	336.1442	0
Acylcarnitine C12:4	336.2169		1	Acylcarnitine C12:4	336.2169	336.2169	0
Cyclic 1,N(2)-propanodeoxyguanosine	338.1464		1	Cyclic 1,N(2)-propanodeoxyguanosine	338.1464	338.1464	0
Acylcarnitine C11:4-OH	338.1962		1	Acylcarnitine C11:4-OH	338.1962	338.1962	0
Acylcarnitine C12:3	338.2326		1	Acylcarnitine C12:3	338.2326	338.2326	0
Acylcarnitine C10:4-2OH	340.1755		1	Acylcarnitine C10:4-2OH	340.1755	340.1755	0
Acylcarnitine C12:2	340.2482		1	Acylcarnitine C12:2	340.2482	340.2482	0
Acylcarnitine CNT-Hex	342.1759		1	Acylcarnitine CNT-Hex	342.1759	342.1759	0
Acylcarnitine C10:3-2OH	342.1911		1	Acylcarnitine C10:3-2OH	342.1911	342.1911	0
Acylcarnitine C11:2-OH	342.2274		1	Acylcarnitine C11:2-OH	342.2274	342.2274	0
Acylcarnitine C12:1	342.2644		1	Acylcarnitine C12:1	342.2644	342.2644	0
Acylcarnitine C10:2-2OH	344.2068		1	Acylcarnitine C10:2-2OH	344.2068	344.2068	0
Acylcarnitine C11:1-OH	344.2431		1	Acylcarnitine C11:1-OH	344.2431	344.2431	0
Acylcarnitine C9:2-3OH	346.186		1	Acylcarnitine C9:2-3OH	346.186	346.186	0
Acylcarnitine C10:1-2OH	346.2224		1	Acylcarnitine C10:1-2OH	346.2224	346.2224	0
Acylcarnitine C11:0-OH	346.2588		1	Acylcarnitine C11:0-OH	346.2588	346.2588	0
Acylcarnitine C11:6-2OH	350.1598		1	Acylcarnitine C11:6-2OH	350.1598	350.1598	0
Acylcarnitine C12:4-OH	352.2118		1	Acylcarnitine C12:4-OH	352.2118	352.2118	0
Acylcarnitine C10:5-3OH	354.1547		1	Acylcarnitine C10:5-3OH	354.1547	354.1547	0
Acylcarnitine C11:4-2OH	354.1911		1	Acylcarnitine C11:4-2OH	354.1911	354.1911	0
Acylcarnitine C12:3-OH	354.2275		1	Acylcarnitine C12:3-OH	354.2275	354.2275	0
Acylcarnitine C10:4-3OH	356.1704		1	Acylcarnitine C10:4-3OH	356.1704	356.1704	0
Acylcarnitine C12:2-OH	356.2431		1	Acylcarnitine C12:2-OH	356.2431	356.2431	0
Acylcarnitine C13:1	356.2795		1	Acylcarnitine C13:1	356.2795	356.2795	0
Acylcarnitine C11:2-2OH	358.2224		1	Acylcarnitine C11:2-2OH	358.2224	358.2224	0
Acylcarnitine C12:1-OH	358.2588		1	Acylcarnitine C12:1-OH	358.2588	358.2588	0
Acylcarnitine C13:0	358.2952		1	Acylcarnitine C13:0	358.2952	358.2952	0
Acylcarnitine C10:2-3OH	360.2017		1	Acylcarnitine C10:2-3OH	360.2017	360.2017	0
Acylcarnitine C11:1-2OH	360.2381		1	Acylcarnitine C11:1-2OH	360.2381	360.2381	0
Acylcarnitine C12:0-OH	360.2744		1	Acylcarnitine C12:0-OH	360.2744	360.2744	0
Acylcarnitine C10:1-3OH	362.2173		1	Acylcarnitine C10:1-3OH	362.2173	362.2173	0
Acylcarnitine C12:6-2OH	364.1755		1	Acylcarnitine C12:6-2OH	364.1755	364.1755	0
Acylcarnitine C5:1-Cysteine	365.1741		1	Acylcarnitine C5:1-Cysteine	365.1741	365.1741	0
Acylcarnitine C10:1-OH-HCl	366.2042		1	Acylcarnitine C10:1-OH-HCl	366.2042	366.2042	0
Acylcarnitine C14:3	366.2639		1	Acylcarnitine C14:3	366.2639	366.2639	0
Acylcarnitine C12:4-2OH	368.2068		1	Acylcarnitine C12:4-2OH	368.2068	368.2068	0
Acylcarnitine C14:2	368.2795		1	Acylcarnitine C14:2	368.2795	368.2795	0
Cholesterol+H-H2O	369.3515		1	Cholesterol+H-H2O	369.3515	369.3515	0
Acylcarnitine C12:3-2OH	370.2224		1	Acylcarnitine C12:3-2OH	370.2224	370.2224	0
Acylcarnitine C13:2-OH	370.2588		1	Acylcarnitine C13:2-OH	370.2588	370.2588	0
Acylcarnitine C12:2-2OH	372.2381		1	Acylcarnitine C12:2-2OH	372.2381	372.2381	0
Acylcarnitine C13:1-OH	372.2744		1	Acylcarnitine C13:1-OH	372.2744	372.2744	0
Acylcarnitine C12:1-2OH	374.2537		1	Acylcarnitine C12:1-2OH	374.2537	374.2537	0
Acylcarnitine C12:0-2OH	376.2694		1	Acylcarnitine C12:0-2OH	376.2694	376.2694	0
glutathione-crotonaldehyde conjugate	378.1335		1	glutathione-crotonaldehyde conjugate	378.1335	378.1335	0
glutathione-crotonol conjugate	380.1491		1	glutathione-crotonol conjugate	380.1491	380.1491	0
Acylcarnitine C14:3-OH	382.2588		1	Acylcarnitine C14:3-OH	382.2588	382.2588	0
Acylcarnitine C14:2-OH	384.2744		1	Acylcarnitine C14:2-OH	384.2744	384.2744	0
Acylcarnitine C13:2-2OH	386.2537		1	Acylcarnitine C13:2-2OH	386.2537	386.2537	0
Acylcarnitine C14:1-OH	386.2901		1	Acylcarnitine C14:1-OH	386.2901	386.2901	0
Cholesterol+H	387.3621		1	Cholesterol+H	387.3621	387.3621	0
Acylcarnitine C12:1-3OH	390.2486		1	Acylcarnitine C12:1-3OH	390.2486	390.2486	0
Acylcarnitine C16:4	392.2795		1	Acylcarnitine C16:4	392.2795	392.2795	0
glutathione-crotonaldehyde conjugate oxidized	394.1284		1	glutathione-crotonaldehyde conjugate oxidized	394.1284	394.1284	0
Acylcarnitine C14:3-2OH	398.2537		1	Acylcarnitine C14:3-2OH	398.2537	398.2537	0
