ID	exact.mass	resolve_note	n_merged	source_ids	mass_min	mass_max	ppm_span
DG 36:0 (putative)	642.6035		1	DG 36:0 (putative)	642.6035	642.6035	0
Cer 42:3 (putative)	646.6137	carbon_shift_candidate 40->42: Cer 42:3 (putative)	1	Cer 42:3 (putative)	646.6137	646.6137	0
SM 30:1 (putative)	647.5124		1	SM 30:1 (putative)	647.5124	647.5124	0
Cer 42:2 (putative)	648.6292	carbon_shift_candidate 40->42: Cer 42:2 (putative)	1	Cer 42:2 (putative)	648.6292	648.6292	0
CE 18:2 (putative)	649.5918		1	CE 18:2 (putative)	649.5918	649.5918	0
Acylcarnitine C18:0-3OH-HexA	650.3746		1	Acylcarnitine C18:0-3OH-HexA	650.3746	650.3746	0
Cer 42:1 (putative)	650.6445		1	Cer 42:1 (putative)	650.6445	650.6445	0
CE 18:1 (putative)	651.6075		1	CE 18:1 (putative)	651.6075	651.6075	0
DG 38:7 (putative)	656.5248		1	DG 38:7 (putative)	656.5248	656.5248	0
DG 38:6 (putative)	658.5405		1	DG 38:6 (putative)	658.5405	658.5405	0
DG 38:5 (putative)	660.5562		1	DG 38:5 (putative)	660.5562	660.5562	0
SM 31:1 (putative)	661.5275		1	SM 31:1 (putative)	661.5275	661.5275	0
SM 32:7 (putative)	663.4521	carbon_shift_candidate 14->32: SM 32:7 (putative)	1	SM 32:7 (putative)	663.4521	663.4521	0
NAD+	664.1164		1	NAD+	664.1164	664.1164	0
PC 27:0 (putative)	664.4935	carbon_shift_candidate 28->27: PC 27:0 (putative)	1	PC 27:0 (putative)	664.4935	664.4935	0
CE 18:3 (putative)	664.6057		1	CE 18:3 (putative)	664.6057	664.6057	0
NADH +H	666.132		1	NADH +H	666.132	666.132	0
CE 18:2 (putative)	666.6193		1	CE 18:2 (putative)	666.6193	666.6193	0
CE 18:1 (putative)	668.6337		1	CE 18:1 (putative)	668.6337	668.6337	0
CE 20:5 (putative)	671.5761		1	CE 20:5 (putative)	671.5761	671.5761	0
PA 34:1 (putative)	673.4808		1	PA 34:1 (putative)	673.4808	673.4808	0
SM 32:2 (putative)	673.528		1	SM 32:2 (putative)	673.528	673.528	0
CE 20:4 (putative)	673.5918		1	CE 20:4 (putative)	673.5918	673.5918	0
PE 31:1 (putative)	674.4761		1	PE 31:1 (putative)	674.4761	674.4761	0
SM 32:1 (putative)	675.5436	carbon_shift_candidate 14->32: SM 32:1 (putative)	1	SM 32:1 (putative)	675.5436	675.5436	0
CE 20:3 (putative)	675.6074		1	CE 20:3 (putative)	675.6074	675.6074	0
SM 32:0 (putative)	677.5595		1	SM 32:0 (putative)	677.5595	677.5595	0
SM 33:2 (putative)	687.5435		1	SM 33:2 (putative)	687.5435	687.5435	0
CE 20:5 (putative)	688.6016		1	CE 20:5 (putative)	688.6016	688.6016	0
SM 33:1 (putative)	689.5592	carbon_shift_candidate 15->33: SM 33:1 (putative)	1	SM 33:1 (putative)	689.5592	689.5592	0
CE 20:4 (putative)	690.6189		1	CE 20:4 (putative)	690.6189	690.6189	0
PC O-30:0 (putative)	692.559		1	PC O-30:0 (putative)	692.559	692.559	0
CE 22:6 (putative)	697.5918		1	CE 22:6 (putative)	697.5918	697.5918	0
CE 22:5 (putative)	699.6074		1	CE 22:5 (putative)	699.6074	699.6074	0
Cardiolipin CL(68:5) [M+2H]2+ (putative)	700.4856		1	Cardiolipin CL(68:5) [M+2H]2+ (putative)	700.4856	700.4856	0
Cardiolipin CL(68:4) [M+2H]2+ (putative)	701.4934		1	Cardiolipin CL(68:4) [M+2H]2+ (putative)	701.4934	701.4934	0
SM 34:2 (putative)	701.5591	carbon_shift_candidate 16->34: SM 34:2 (putative)	1	SM 34:2 (putative)	701.5591	701.5591	0
PC 30:2 (putative)	702.5056		1	PC 30:2 (putative)	702.5056	702.5056	0
Cardiolipin CL(68:2) [M+2H]2+ (putative)	703.509		1	Cardiolipin CL(68:2) [M+2H]2+ (putative)	703.509	703.509	0
SM 34:1 (putative)	703.5755	carbon_shift_candidate 16->34: SM 34:1 (putative)	1	SM 34:1 (putative)	703.5755	703.5755	0
PE O-34:1 (putative)	704.5582		1	PE O-34:1 (putative)	704.5582	704.5582	0
SM 34:0 (putative)	705.5907		1	SM 34:0 (putative)	705.5907	705.5907	0
PC 30:0 (putative)	706.5381		1	PC 30:0 (putative)	706.5381	706.5381	0
SM 35:4 (putative)	711.5465	carbon_shift_candidate 17->35: SM 35:4 (putative)	1	SM 35:4 (putative)	711.5465	711.5465	0
Cardiolipin CL(70:5) [M+2H]2+ (putative)	714.5012		1	Cardiolipin CL(70:5) [M+2H]2+ (putative)	714.5012	714.5012	0
PE O-35:3 (putative)	714.5433		1	PE O-35:3 (putative)	714.5433	714.5433	0
CE 22:6 (putative)	714.6185		1	CE 22:6 (putative)	714.6185	714.6185	0
Cardiolipin CL(70:4) [M+2H]2+ (putative)	715.509		1	Cardiolipin CL(70:4) [M+2H]2+ (putative)	715.509	715.509	0
SM 35:2 (putative)	715.5753		1	SM 35:2 (putative)	715.5753	715.5753	0
PC O-32:2 (putative)	716.5593		1	PC O-32:2 (putative)	716.5593	716.5593	0
SM 35:1 (putative)	717.5906	carbon_shift_candidate 17->35: SM 35:1 (putative)	1	SM 35:1 (putative)	717.59065	717.59065	0
PC 31:1 (putative)	718.5394		1	PC 31:1 (putative)	718.5394	718.5394	0
PC O-32:1 (putative)	718.5748		1	PC O-32:1 (putative)	718.5748	718.5748	0
PC 31:0 (putative)	720.5544		1	PC 31:0 (putative)	720.5544	720.5544	0
SM 36:5 (putative)	723.5447	carbon_shift_candidate 18->36: SM 36:5 (putative)	1	SM 36:5 (putative)	723.5447	723.5447	0
PE P-34:2 (putative)	724.5252		1	PE P-34:2 (putative)	724.5252	724.5252	0
Cardiolipin CL(72:8) [M+2H]2+ (putative)	725.4934		1	Cardiolipin CL(72:8) [M+2H]2+ (putative)	725.4934	725.4934	0
SM 36:4 (putative)	725.5596	carbon_shift_candidate 18->36: SM 36:4 (putative)	1	SM 36:4 (putative)	725.55965	725.55965	0
Cardiolipin CL(72:7) [M+2H]2+ (putative)	726.5012		1	Cardiolipin CL(72:7) [M+2H]2+ (putative)	726.5012	726.5012	0
PE 36:2 (putative)	726.5438		1	PE 36:2 (putative)	726.5438	726.5438	0
Cardiolipin CL(72:6) [M+2H]2+ (putative)	727.509		1	Cardiolipin CL(72:6) [M+2H]2+ (putative)	727.509	727.509	0
PA 38:2 (putative)	727.5278		1	PA 38:2 (putative)	727.5278	727.5278	0
SM 36:3 (putative)	727.5752		1	SM 36:3 (putative)	727.5752	727.5752	0
NADPH M+H-H2O	728.103		1	NADPH M+H-H2O	728.103	728.103	0
Cardiolipin CL(72:5) [M+2H]2+ (putative)	728.5169		1	Cardiolipin CL(72:5) [M+2H]2+ (putative)	728.5169	728.5169	0
PC 32:3 (putative)	728.5228		1	PC 32:3 (putative)	728.5228	728.5228	0
Cardiolipin CL(72:4) [M+2H]2+ (putative)	729.5247		1	Cardiolipin CL(72:4) [M+2H]2+ (putative)	729.5247	729.5247	0
SM 36:2 (putative)	729.5915	carbon_shift_candidate 18->36: SM 36:2 (putative)	1	SM 36:2 (putative)	729.5915	729.5915	0
PC 32:2 (putative)	730.5384		1	PC 32:2 (putative)	730.5384	730.5384	0
SM 36:1 (putative)	731.6069	carbon_shift_candidate 18->36: SM 36:1 (putative)	1	SM 36:1 (putative)	731.6069	731.6069	0
PC 32:1 (putative)	732.5538		1	PC 32:1 (putative)	732.5538	732.5538	0
PC 32:1 (putative)	732.5576		1	PC 32:1 (putative)	732.5576	732.5576	0
SM 36:0 (putative)	733.6222		1	SM 36:0 (putative)	733.6222	733.6222	0
PC 32:0 (putative)	734.5706		1	PC 32:0 (putative)	734.5706	734.5706	0
PC O-33:0 (putative)	734.6068		1	PC O-33:0 (putative)	734.6068	734.6068	0
Cardiolipin CL(74:9) [M+2H]2+ (putative)	738.5012		1	Cardiolipin CL(74:9) [M+2H]2+ (putative)	738.5012	738.5012	0
Cardiolipin CL(74:8) [M+2H]2+ (putative)	739.509		1	Cardiolipin CL(74:8) [M+2H]2+ (putative)	739.509	739.509	0
SM 37:4 (putative)	739.5718		1	SM 37:4 (putative)	739.5718	739.5718	0
Cardiolipin CL(74:7) [M+2H]2+ (putative)	740.5169		1	Cardiolipin CL(74:7) [M+2H]2+ (putative)	740.5169	740.5169	0
TG 42:0 (putative)	740.6752		1	TG 42:0 (putative)	740.6752	740.6752	0
PC 33:3 (putative)	742.5386		1	PC 33:3 (putative)	742.5386	742.5386	0
PC O-34:3 (putative)	742.5746		1	PC O-34:3 (putative)	742.57455	742.57455	0
SM 37:1 (putative)	745.6218		1	SM 37:1 (putative)	745.6218	745.6218	0
PC 33:1 (putative)	746.5694		1	PC 33:1 (putative)	746.5694	746.5694	0
PC O-34:1 (putative)	746.605		1	PC O-34:1 (putative)	746.605	746.605	0
PE O-38:7 (putative)	748.5283		1	PE O-38:7 (putative)	748.5283	748.5283	0
PC 33:0 (putative)	748.5854		1	PC 33:0 (putative)	748.58535	748.58535	0
PC O-34:0 (putative)	748.6213		1	PC O-34:0 (putative)	748.6213	748.6213	0
Cardiolipin CL(76:12) [M+2H]2+ (putative)	749.4934		1	Cardiolipin CL(76:12) [M+2H]2+ (putative)	749.4934	749.4934	0
Cardiolipin CL(76:11) [M+2H]2+ (putative)	750.5012		1	Cardiolipin CL(76:11) [M+2H]2+ (putative)	750.5012	750.5012	0
PE 38:4 (putative)	750.5438		1	PE 38:4 (putative)	750.5438	750.5438	0
Cardiolipin CL(76:10) [M+2H]2+ (putative)	751.509		1	Cardiolipin CL(76:10) [M+2H]2+ (putative)	751.509	751.509	0
SM 38:5 (putative)	751.5771	carbon_shift_candidate 20->38: SM 38:5 (putative)	1	SM 38:5 (putative)	751.5771	751.5771	0
Cardiolipin CL(76:9) [M+2H]2+ (putative)	752.5169		1	Cardiolipin CL(76:9) [M+2H]2+ (putative)	752.5169	752.5169	0
PC 34:5 (putative)	752.522		1	PC 34:5 (putative)	752.522	752.522	0
PE P-36:2 (putative)	752.5565		1	PE P-36:2 (putative)	752.5565	752.5565	0
SM 36:1 (putative)	753.5881		1	SM 36:1 (putative)	753.5881	753.5881	0
SM 38:4 (putative)	753.5944	carbon_shift_candidate 20->38: SM 38:4 (putative)	1	SM 38:4 (putative)	753.5944	753.5944	0
PC 34:4 (putative)	754.5378		1	PC 34:4 (putative)	754.5378	754.5378	0
PC O-35:4 (putative)	754.5749		2	PE O-38:4 (putative) | PC O-35:4 (putative)	754.5747	754.5751	0.5301
TG 43:0 (putative)	754.6968		1	TG 43:0 (putative)	754.6968	754.6968	0
SM 38:3 (putative)	755.6072		1	SM 38:3 (putative)	755.6072	755.6072	0
PC/PE 32:0 (putative)	756.5524		2	PC/PE 32:0 (putative) | PC 34:3 (putative)	756.5514	756.5535	2.7757
PC O-35:3 (putative)	756.5909		1	PC O-35:3 (putative)	756.59085	756.59085	0
SM 38:2 (putative)	757.6225	carbon_shift_candidate 20->38: SM 38:2 (putative)	1	SM 38:2 (putative)	757.6225	757.6225	0
PC 34:2 (putative)	758.5706		1	PC 34:2 (putative)	758.5706	758.5706	0
PC O-35:2 (putative)	758.6063		1	PC O-35:2 (putative)	758.6063	758.6063	0
SM 38:1 (putative)	759.6376	carbon_shift_candidate 20->38: SM 38:1 (putative)	1	SM 38:1 (putative)	759.6376	759.6376	0
TG 45:3 (putative)	759.6497		1	TG 45:3 (putative)	759.6497	759.6497	0
PC 34:1 (putative)	760.5882		2	PC 34:1 (putative)	760.5867	760.5896	3.8128
SM 38:0 (putative)	761.652		1	SM 38:0 (putative)	761.652	761.652	0
PE 36:4 (putative)	762.5044		1	PE 36:4 (putative)	762.5044	762.5044	0
PC 34:0 (putative)	762.602		1	PC 34:0 (putative)	762.60195	762.60195	0
Cardiolipin CL(78:12) [M+2H]2+ (putative)	763.509		1	Cardiolipin CL(78:12) [M+2H]2+ (putative)	763.509	763.509	0
PC 35:6 (putative)	764.5231		1	PC 35:6 (putative)	764.5231	764.5231	0
TG 44:2 (putative)	764.6807		1	TG 44:2 (putative)	764.6807	764.6807	0
PC 35:5 (putative)	766.5383		1	PC 35:5 (putative)	766.53825	766.53825	0
PC O-36:5 (putative)	766.5751		1	PC O-36:5 (putative)	766.5751	766.5751	0
TG 44:1 (putative)	766.6937		1	TG 44:1 (putative)	766.6937	766.6937	0
CoA	768.1225		1	CoA	768.1225	768.1225	0
PC 35:4 (putative)	768.5553		1	PC 35:4 (putative)	768.5553	768.5553	0
PC O-36:4 (putative)	768.5771		1	PC O-36:4 (putative)	768.5771	768.5771	0
PC/PE P-34:1 (putative)	768.5878		1	PC/PE P-34:1 (putative)	768.5878	768.5878	0
PC 35:3 (putative)	770.5698		1	PC 35:3 (putative)	770.5698	770.5698	0
PE O-40:9 (putative)	772.5274		1	PE O-40:9 (putative)	772.5274	772.5274	0
PC 35:2 (putative)	772.5858		1	PC 35:2 (putative)	772.5858	772.5858	0
PC P-36:2 (putative)	772.6212		2	PC O-36:2 (putative) | PC P-36:2 (putative)	772.6209	772.6215	0.7766
PG 36:2 (putative)	773.5333		1	PG 36:2 (putative)	773.5333	773.5333	0
SM 39:1 (putative)	773.6531	carbon_shift_candidate 21->39: SM 39:1 (putative)	1	SM 39:1 (putative)	773.6531	773.6531	0
Acetyl-CoA	774.1118		1	Acetyl-CoA	774.1118	774.1118	0
PC 35:1 (putative)	774.6008		1	PC 35:1 (putative)	774.60075	774.60075	0
PE 40:5 (putative)	776.56		1	PE 40:5 (putative)	776.56	776.56	0
PC 35:0 (putative)	776.6164		1	PC 35:0 (putative)	776.6164	776.6164	0
PC 36:6 (putative)	778.5374		1	PC 36:6 (putative)	778.5374	778.5374	0
PC 36:5 (putative)	780.5523		1	PC 36:5 (putative)	780.5523	780.5523	0
PC O-37:5 (putative)	780.5905		1	PC O-37:5 (putative)	780.5905	780.5905	0
Cardiolipin CL(80:8) [M+2H]2+ (putative)	781.556		1	Cardiolipin CL(80:8) [M+2H]2+ (putative)	781.556	781.556	0
DL-MethylCoA	782.1381		1	DL-MethylCoA	782.1381	782.1381	0
PC 34:1 (putative)	782.567		1	PC 34:1 (putative)	782.567	782.567	0
PC 36:4 (putative)	782.5728		2	PC 36:4 (putative)	782.5715	782.574	3.1946
PC O-37:4 (putative)	782.593		1	PC O-37:4 (putative)	782.593	782.593	0
TG 45:0 (putative)	782.7242		1	TG 45:0 (putative)	782.7242	782.7242	0
SM 40:3 (putative)	783.6379		1	SM 40:3 (putative)	783.6379	783.6379	0
PC 36:3 (putative)	784.5768		1	PC 36:3 (putative)	784.5768	784.5768	0
PC 34:0 (putative)	784.5834		2	PC 34:0 (putative) | PC 36:3 (putative)	784.5827	784.5841	1.7844
PC 36:3 (putative)	784.5898		1	PC 36:3 (putative)	784.5898	784.5898	0
SM 40:2 (putative)	785.6551	carbon_shift_candidate 22->40: SM 40:2 (putative)	2	SM 40:2 (putative)	785.65315	785.657	4.9004
FAD	786.1644		1	FAD	786.1644	786.1644	0
PS 36:2 (putative)	786.5285		1	PS 36:2 (putative)	786.5285	786.5285	0
PC 36:2 (putative)	786.601		1	PC 36:2 (putative)	786.60095	786.60095	0
PC 36:2 (putative)	786.6052		1	PC 36:2 (putative)	786.6052	786.6052	0
SM 40:1 (putative)	787.6687	carbon_shift_candidate 22->40: SM 40:1 (putative)	1	SM 40:1 (putative)	787.6687	787.6687	0
FADH2	788.1801		1	FADH2	788.1801	788.1801	0
PS 36:1 (putative)	788.5442		1	PS 36:1 (putative)	788.5442	788.5442	0
PC 36:1 (putative)	788.6165		1	PC 36:1 (putative)	788.6165	788.6165	0
PA 43:6 (putative)	789.5434		1	PA 43:6 (putative)	789.5434	789.5434	0
PE 38:2 (putative)	789.6116		1	PE 38:2 (putative)	789.6116	789.6116	0
SM 40:0 (putative)	789.684		1	SM 40:0 (putative)	789.684	789.684	0
PE 40:6 (putative)	790.5384		2	PC 37:7 (putative) | PE 40:6 (putative)	790.5381	790.5387	0.759
PC O-38:7 (putative)	790.5743		1	PC O-38:7 (putative)	790.5743	790.5743	0
PC 36:0 (putative)	790.6325		1	PC 36:0 (putative)	790.6325	790.6325	0
TG 46:3 (putative)	790.6967		1	TG 46:3 (putative)	790.6967	790.6967	0
PC 37:6 (putative)	792.5538		1	PC 37:6 (putative)	792.5538	792.5538	0
PC O-38:6 (putative)	792.5908		1	PC O-38:6 (putative)	792.5908	792.5908	0
TG 46:2 (putative)	792.7114		1	TG 46:2 (putative)	792.7114	792.7114	0
PC 37:5 (putative)	794.5692		1	PC 37:5 (putative)	794.5692	794.5692	0
PC O-38:5 (putative)	794.606		1	PC O-38:5 (putative)	794.60605	794.60605	0
TG 46:1 (putative)	794.722		1	TG 46:1 (putative)	794.722	794.722	0
PC 37:4 (putative)	796.5853		1	PC 37:4 (putative)	796.5853	796.5853	0
TG 46:0 (putative)	796.7368		1	TG 46:0 (putative)	796.7368	796.7368	0
PG 38:4 (putative)	797.5333		1	PG 38:4 (putative)	797.5333	797.5333	0
SM 41:3 (putative)	797.653		1	SM 41:3 (putative)	797.653	797.653	0
PC 37:3 (putative)	798.6009		1	PC 37:3 (putative)	798.6009	798.6009	0
PC O-38:3 (putative)	798.6368		1	PC O-38:3 (putative)	798.6368	798.6368	0
SM 41:2 (putative)	799.6694	carbon_shift_candidate 23->41: SM 41:2 (putative)	2	SM 41:2 (putative)	799.6687	799.6701	1.7507
PC 37:2 (putative)	800.6164		1	PC 37:2 (putative)	800.6164	800.6164	0
SM 41:1 (putative)	801.6848	carbon_shift_candidate 23->41: SM 41:1 (putative)	1	SM 41:1 (putative)	801.6848	801.6848	0
PC 38:8 (putative)	802.5403		1	PC 38:8 (putative)	802.5403	802.5403	0
PC 37:1 (putative)	802.632		1	PC 37:1 (putative)	802.63205	802.63205	0
PC 38:7 (putative)	804.5531	carbon_shift_candidate 37->38: PC 38:7 (putative)	1	PC 38:7 (putative)	804.5531	804.5531	0
PE O-42:7 (putative)	804.5905		1	PE O-42:7 (putative)	804.5905	804.5905	0
TG 47:3 (putative)	804.7063		1	TG 47:3 (putative)	804.7063	804.7063	0
PC 38:6 (putative)	806.5672		1	PC 38:6 (putative)	806.5672	806.5672	0
TG 47:2 (putative)	806.7217		1	TG 47:2 (putative)	806.7217	806.7217	0
SM 42:5 (putative)	807.6374	carbon_shift_candidate 24->42: SM 42:5 (putative)	1	SM 42:5 (putative)	807.6374	807.6374	0
PC 36:2 (putative)	808.5834		2	PC 36:2 (putative) | PC 38:5 (putative)	808.5827	808.5841	1.7314
TG 47:1 (putative)	808.739		1	TG 47:1 (putative)	808.739	808.739	0
SM 42:4 (putative)	809.6518	carbon_shift_candidate 24->42: SM 42:4 (putative)	1	SM 42:4 (putative)	809.6518	809.6518	0
AcetylCoA / CoA 2:0	810.133		1	AcetylCoA / CoA 2:0	810.133	810.133	0
PC 38:4 (putative)	810.6024		2	PC 38:4 (putative)	810.6007	810.60405	4.1327
GlcCer 42:2 (putative)	810.6817		1	GlcCer 42:2 (putative)	810.6817	810.6817	0
SM 42:3 (putative)	811.6687	carbon_shift_candidate 24->42: SM 42:3 (putative)	1	SM 42:3 (putative)	811.6687	811.6687	0
PC 38:3 (putative)	812.6158		1	PC 38:3 (putative)	812.6158	812.6158	0
GlcCer 42:1 (putative)	812.6974		1	GlcCer 42:1 (putative)	812.6974	812.6974	0
SM 42:2 (putative)	813.6847	carbon_shift_candidate 24->42: SM 42:2 (putative)	1	SM 42:2 (putative)	813.6847	813.6847	0
PC O-40:9 (putative)	814.5734		1	PC O-40:9 (putative)	814.5734	814.5734	0
PC 38:2 (putative)	814.6329		1	PC 38:2 (putative)	814.6329	814.6329	0
Unknown: NF-L Positive - 815.6347	815.6347		1	Unknown: NF-L Positive - 815.6347	815.6347	815.6347	0
SM 42:1 (putative)	815.7003	carbon_shift_candidate 24->42: SM 42:1 (putative)	1	SM 42:1 (putative)	815.7003	815.7003	0
PC O-40:8 (putative)	816.5898		1	PC O-40:8 (putative)	816.5898	816.5898	0
PC 38:1 (putative)	816.6474		1	PC 38:1 (putative)	816.64745	816.64745	0
PC 39:7 (putative)	818.5699		1	PC 39:7 (putative)	818.5699	818.5699	0
PC O-40:7 (putative)	818.6062		1	PC O-40:7 (putative)	818.60615	818.60615	0
PC 38:0 (putative)	818.6649		1	PC 38:0 (putative)	818.6649	818.6649	0
TG 48:3 (putative)	818.7245		1	TG 48:3 (putative)	818.7245	818.7245	0
PC 39:6 (putative)	820.5859		1	PC 39:6 (putative)	820.5859	820.5859	0
PC O-40:6 (putative)	820.6208		1	PC O-40:6 (putative)	820.6208	820.6208	0
TG 48:2 (putative)	820.7375		1	TG 48:2 (putative)	820.7375	820.7375	0
PC 39:5 (putative)	822.6011		1	PC 39:5 (putative)	822.6011	822.6011	0
PC O-40:5 (putative)	822.6376		1	PC O-40:5 (putative)	822.63765	822.63765	0
TG 48:1 (putative)	822.7565		1	TG 48:1 (putative)	822.7565	822.7565	0
SM 43:4 (putative)	823.6712	carbon_shift_candidate 25->43: SM 43:4 (putative)	1	SM 43:4 (putative)	823.6712	823.6712	0
CoA 3:0	824.1487		1	CoA 3:0	824.1487	824.1487	0
PC 39:4 (putative)	824.6165		1	PC 39:4 (putative)	824.6165	824.6165	0
PC O-40:4 (putative)	824.6533		1	PC O-40:4 (putative)	824.65325	824.65325	0
TG 48:0 (putative)	824.7713		1	TG 48:0 (putative)	824.7713	824.7713	0
PC 40:10 (putative)	826.5356		1	PC 40:10 (putative)	826.5356	826.5356	0
PC O-40:3 (putative)	826.6689		1	PC O-40:3 (putative)	826.6689	826.6689	0
PC O-40:3 (putative)	826.6738		1	PC O-40:3 (putative)	826.6738	826.6738	0
SM 43:2 (putative)	827.7007		1	SM 43:2 (putative)	827.7007	827.7007	0
SM 43:2 (putative)	827.7049	carbon_shift_candidate 25->43: SM 43:2 (putative)	1	SM 43:2 (putative)	827.7049	827.7049	0
PC 38:6 (putative)	828.5528		2	PC 38:6 (putative) | PC 40:9 (putative)	828.5514	828.5542	3.3794
SM 43:1 (putative)	829.7154	carbon_shift_candidate 25->43: SM 43:1 (putative)	1	SM 43:1 (putative)	829.7154	829.7154	0
PC 39:1 (putative)	830.6633		1	PC 39:1 (putative)	830.6633	830.6633	0
PC 40:7 (putative)	832.5835	carbon_shift_candidate 39->40: PC 40:7 (putative)	2	PC 40:7 (putative)	832.5819	832.5852	3.9636
GlcCer 42:2 (putative)	832.6662		1	GlcCer 42:2 (putative)	832.6662	832.6662	0
TG 49:3 (putative)	832.744		1	TG 49:3 (putative)	832.744	832.744	0
SM 44:6 (putative)	833.6518	carbon_shift_candidate 26->44: SM 44:6 (putative)	1	SM 44:6 (putative)	833.6518	833.6518	0
TG 50:1 (putative)	833.7593		1	TG 50:1 (putative)	833.7593	833.7593	0
PC 40:6 (putative)	834.6		1	PC 40:6 (putative)	834.6	834.6	0
TG 49:2 (putative)	834.7592		1	TG 49:2 (putative)	834.7592	834.7592	0
SM 42:2 (putative)	835.6671	carbon_shift_candidate 26->44: SM 44:5 (putative)	2	SM 42:2 (putative) | SM 44:5 (putative)	835.6663	835.66785	1.8548
PS 37:2 (putative)	836.5208		1	PS 37:2 (putative)	836.5208	836.5208	0
PC 40:5 (putative)	836.6119		1	PC 40:5 (putative)	836.6119	836.6119	0
PC 40:5 (putative)	836.6164		1	PC 40:5 (putative)	836.6164	836.6164	0
PE/DG 28:0 (putative)	837.5247		1	PE/DG 28:0 (putative)	837.5247	837.5247	0
Unknown: GFAP positive - 837.6607	837.6607		1	Unknown: GFAP positive - 837.6607	837.6607	837.6607	0
SM 44:4 (putative)	837.6869	carbon_shift_candidate 26->44: SM 44:4 (putative)	1	SM 44:4 (putative)	837.6869	837.6869	0
DL-(iso)ButyrylCoA	838.1643		1	DL-(iso)ButyrylCoA	838.1643	838.1643	0
PC 40:4 (putative)	838.632		1	PC 40:4 (putative)	838.632	838.632	0
SM 44:3 (putative)	839.7038	carbon_shift_candidate 26->44: SM 44:3 (putative)	1	SM 44:3 (putative)	839.7038	839.7038	0
PC 40:3 (putative)	840.6478		1	PC 40:3 (putative)	840.6478	840.6478	0
SM 44:2 (putative)	841.7189	carbon_shift_candidate 26->44: SM 44:2 (putative)	1	SM 44:2 (putative)	841.7189	841.7189	0
PC 40:2 (putative)	842.6638		1	PC 40:2 (putative)	842.6638	842.6638	0
TG 50:5 (putative)	842.7266		1	TG 50:5 (putative)	842.7266	842.7266	0
PC O-42:8 (putative)	844.6209		1	PC O-42:8 (putative)	844.6209	844.6209	0
TG 50:4 (putative)	844.7397		1	TG 50:4 (putative)	844.7397	844.7397	0
PC O-42:7 (putative)	846.6367		1	PC O-42:7 (putative)	846.6367	846.6367	0
TG 50:3 (putative)	846.756		1	TG 50:3 (putative)	846.75605	846.75605	0
PC O-42:6 (putative)	848.6529		1	PC O-42:6 (putative)	848.6529	848.6529	0
TG 50:2 (putative)	848.7715		1	TG 50:2 (putative)	848.7715	848.7715	0
DL-(iso)TiglylCoA	850.1643		1	DL-(iso)TiglylCoA	850.1643	850.1643	0
PC O-42:5 (putative)	850.6686		1	PC O-42:5 (putative)	850.6686	850.6686	0
Unknown: NF-L Positive - 850.673	850.673		1	Unknown: NF-L Positive - 850.673	850.673	850.673	0
TG 50:1 (putative)	850.7871		1	TG 50:1 (putative)	850.7871	850.7871	0
Acetoacyl-CoA	852.1442		1	Acetoacyl-CoA	852.1442	852.1442	0
DL-MethylbutyroylCoA	852.18		1	DL-MethylbutyroylCoA	852.18	852.18	0
PC O-42:4 (putative)	852.6842		1	PC O-42:4 (putative)	852.68425	852.68425	0
Malonyl-CoA / 3-Hydroxybutanoyl-CoA	854.1229		1	Malonyl-CoA / 3-Hydroxybutanoyl-CoA	854.1229	854.1229	0
CoA 4:0(OH)	854.1592		1	CoA 4:0(OH)	854.1592	854.1592	0
PC O-42:3 (putative)	854.7004		1	PC O-42:3 (putative)	854.7004	854.7004	0
SM 45:2 (putative)	855.7324	carbon_shift_candidate 27->45: SM 45:2 (putative)	1	SM 45:2 (putative)	855.7324	855.7324	0
TG 52:4 (putative)	855.7436		1	TG 52:4 (putative)	855.7436	855.7436	0
PC 42:9 (putative)	856.5851		1	PC 42:9 (putative)	856.5851	856.5851	0
PC O-42:2 (putative)	856.7149		1	PC O-42:2 (putative)	856.7149	856.7149	0
TG 52:3 (putative)	857.7593		1	TG 52:3 (putative)	857.7593	857.7593	0
PC 42:8 (putative)	858.6001		1	PC 42:8 (putative)	858.6001	858.6001	0
TG 51:4 (putative)	858.7546		1	TG 51:4 (putative)	858.7546	858.7546	0
TG 52:2 (putative)	859.7749		1	TG 52:2 (putative)	859.7749	859.7749	0
PC 42:7 (putative)	860.6157		1	PC 42:7 (putative)	860.61575	860.61575	0
TG 51:3 (putative)	860.7722		1	TG 51:3 (putative)	860.7722	860.7722	0
TG 52:1 (putative)	861.7906		1	TG 52:1 (putative)	861.7906	861.7906	0
DL-C5H4O3-CoA	862.1279		1	DL-C5H4O3-CoA	862.1279	862.1279	0
PC 42:6 (putative)	862.6328		1	PC 42:6 (putative)	862.63285	862.63285	0
TG 51:2 (putative)	862.7913		1	TG 51:2 (putative)	862.7913	862.7913	0
CoA 6:1	864.18		1	CoA 6:1	864.18	864.18	0
PC 42:5 (putative)	864.6472		1	PC 42:5 (putative)	864.6472	864.6472	0
TG 51:1 (putative)	864.8058		1	TG 51:1 (putative)	864.80585	864.80585	0
DL-C5-oxo-CoA	866.1592		1	DL-C5-oxo-CoA	866.1592	866.1592	0
PC 42:4 (putative)	866.6638		1	PC 42:4 (putative)	866.6638	866.6638	0
TG 51:0 (putative)	866.8201		1	TG 51:0 (putative)	866.8201	866.8201	0
